order_date,store_name,store_type,city,state,product_name,category,quantity,unit_price,total_amount,channel,return_reason
2023-01-16,Sharma Kirana,Kirana,Kolhapur,Maharashtra,NexaGold Wheat Atta 10kg,Atta,36,140,5040,Offline,
2023-01-28,Patil General,Kirana,Pune,Maharashtra,NexaGold Toor Dal 1kg,Dal,15,50,750,Online,
2023-01-05,Patel Kirana,Kirana,Rajkot,Gujarat,NexaGold Sunflower Oil 5L,Edible Oil,4,140,560,Offline,
2023-01-13,Thakur Traders,Kirana,Nagpur,Maharashtra,NexaCrunch Mixture 200g,Snacks,15,50,750,Offline,
2023-01-12,Reliance Fresh Baner,Supermarket,Pune,Maharashtra,NexaClean Dishwash 500ml,Household,6,110,660,Offline,Late Delivery
2023-01-27,D-Mart Aundh,Supermarket,Nashik,Maharashtra,NexaGold Toor Dal 1kg,Dal,30,50,1500,Offline,Late Delivery
2023-01-02,D-Mart Aundh,Supermarket,Surat,Gujarat,NexaGold Turmeric 200g,Spices,33,350,11550,Online,
2023-01-14,Shinde Traders,Kirana,Nashik,Maharashtra,NexaGold Wheat Atta 10kg,Atta,32,550,17600,Offline,
2023-01-17,Gaikwad Store,Kirana,Kolhapur,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,12,140,1680,Offline,Late Delivery
2023-01-22,D-Mart Hinjewadi,Supermarket,Kolhapur,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,28,70,1960,Online,
2023-01-27,Patel Kirana,Kirana,Pune,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,35,30,1050,Offline,
2023-01-22,Sharma Kirana,Kirana,Surat,Gujarat,NexaClean Dishwash 500ml,Household,1,350,350,Offline,
2023-01-19,Pandey Store,Kirana,Kolhapur,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,23,550,12650,Offline,
2023-01-14,Bhat Store,Kirana,Nagpur,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,4,50,200,Offline,Late Delivery
2023-01-16,Patil General,Kirana,Nashik,Maharashtra,NexaGold Moong Dal 1kg,Dal,1,110,110,Online,
2023-01-23,Modi Kirana,Kirana,Aurangabad,Maharashtra,NexaCrunch Chips 100g,Snacks,8,70,560,Offline,
2023-01-25,Apte Traders,Kirana,Nagpur,Maharashtra,NexaCrunch Mixture 200g,Snacks,20,140,2800,Offline,
2023-01-20,Yadav General,Kirana,Surat,Gujarat,NexaCare Shampoo 200ml,Personal Care,15,280,4200,Offline,
2023-01-14,D-Mart Kothrud,Supermarket,Nashik,Maharashtra,NexaGold Wheat Atta 5kg,Atta,34,550,18700,Offline,Late Delivery
2023-01-28,Rajput Provisions,Kirana,Nagpur,Maharashtra,NexaGold Garam Masala 100g,Spices,33,350,11550,Offline,
2023-01-15,Kulkarni Store,Kirana,Ahmedabad,Gujarat,NexaClean Dishwash 500ml,Household,3,70,210,Online,
2023-01-03,Kulkarni Store,Kirana,Rajkot,Gujarat,NexaGold Garam Masala 100g,Spices,2,550,1100,Offline,
2023-01-04,Star Bazaar Pune,Supermarket,Nagpur,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,27,550,14850,Online,Damaged
2023-01-15,Mishra Provisions,Kirana,Nagpur,Maharashtra,NexaGold Wheat Atta 5kg,Atta,22,350,7700,Offline,
2023-01-28,Apte Traders,Kirana,Solapur,Maharashtra,NexaClean Dishwash 500ml,Household,18,350,6300,Offline,Late Delivery
2023-01-24,Desai Provisions,Kirana,Solapur,Maharashtra,NexaCare Soap 100g,Personal Care,12,50,600,Offline,
2023-01-27,D-Mart Ahmedabad SG Highway,Supermarket,Kolhapur,Maharashtra,NexaCrunch Mixture 200g,Snacks,36,30,1080,Offline,
2023-01-15,More Supermarket Viman Nagar,Supermarket,Kolhapur,Maharashtra,NexaCrunch Namkeen 150g,Snacks,4,30,120,Online,
2023-01-12,Apte Traders,Kirana,Aurangabad,Maharashtra,NexaCrunch Mixture 200g,Snacks,25,350,8750,Offline,
2023-01-27,Kulkarni Store,Kirana,Nashik,Maharashtra,NexaGold Garam Masala 100g,Spices,38,140,5320,Offline,
2023-01-15,Sawant Traders,Kirana,Kolhapur,Maharashtra,NexaCare Shampoo 200ml,Personal Care,31,350,10850,Offline,Wrong Item
2023-01-08,More Supermarket Viman Nagar,Supermarket,Surat,Gujarat,NexaCrunch Namkeen 150g,Snacks,5,140,700,Offline,
2023-01-08,Desai Provisions,Kirana,Pune,Maharashtra,NexaGold Wheat Atta 5kg,Atta,31,350,10850,Offline,
2023-01-15,Patel Kirana,Kirana,Solapur,Maharashtra,NexaGold Wheat Atta 5kg,Atta,5,110,550,Online,
2023-01-24,Bhat Store,Kirana,Solapur,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,12,110,1320,Offline,
2023-01-03,D-Mart Ahmedabad SG Highway,Supermarket,Surat,Gujarat,NexaCare Shampoo 200ml,Personal Care,9,140,1260,Offline,Wrong Item
2023-01-11,Bhat Store,Kirana,Solapur,Maharashtra,NexaGold Red Chilli 200g,Spices,27,70,1890,Online,Late Delivery
2023-01-27,Jadhav Store,Kirana,Surat,Gujarat,NexaGold Multigrain Atta 5kg,Atta,8,140,1120,Online,
2023-01-12,Parmar General,Kirana,Pune,Maharashtra,NexaCrunch Mixture 200g,Snacks,7,110,770,Offline,Late Delivery
